text,priority
"Road is completely broken",HIGH
"Street light not working",MEDIUM
"Garbage is not collected from our street for several days",MEDIUM
"Garbage collection delayed",MEDIUM
"Hospital emergency ward overcrowded",HIGH
"Residential area eke garbage burn karanawa",MEDIUM
"Gedara issaraha kasala dump karanawa, bad smell ena widihak",MEDIUM
"Rathri 10 passe loku noise, sleep karanna baha",HIGH
"Canal eka block wela water overflow wenawa",HIGH
"Electric wire laga gasak loku risk ekak",HIGH
"Illegal parking nisa access road eka close",MEDIUM
"Hospital emergency ward overcrowded",HIGH
"Street light not working",MEDIUM
"Road is completely broken",HIGH
"Rathri 10 passe loku noise, sleep karanna baha",HIGH
"Geda issaraha kasala dump karanawa, bad smell ena widihak",LOW
"Unauthorized wall ekak hadala public land block wela",HIGH
"Canal eka block wela water overflow wenawa",MEDIUM
"Illegal parking nisa access road eka close",MEDIUM
"paara mada loku valak",High
"Rathri 10 passe loku noise, sleep karanna baha",LOW
"Illegal parking nisa access road eka close",LOW
"Unauthorized wall ekak hadala public land block wela",LOW
"Residential area eke garbage burn karanawa",HIGH
"Rathri 10 passe loku noise, sleep karanna baha",LOW
"Geda issaraha kasala dump karanawa, bad smell ena widihak",MEDIUM
"Canal eka block wela water overflow wenawa",MEDIUM
"Residential area eke garbage burn karanawa",HIGH
"Electric wire laga gasak loku risk ekak",MEDIUM
"Rathri 10 passe loku noise, sleep karanna baha",HIGH
"Canal eka block wela water overflow wenawa",LOW

"Rathri 10 passe loku noise, sleep karanna baha",HIGH
"Illegal parking nisa access road eka close",MEDIUM
"Residential area eke garbage burn karanawa",HIGH
"Rathri 10 passe loku noise, sleep karanna baha",LOW
"Canal eka block wela water overflow wenawa",HIGH
"Rathri 10 passe loku noise, sleep karanna baha",LOW
"Unauthorized wall ekak hadala public land block wela",LOW
"Geda issaraha kasala dump karanawa, bad smell ena widihak",MEDIUM
"Rathri 10 passe loku noise, sleep karanna baha",MEDIUM
"Illegal parking nisa access road eka close",LOW
text,priority
"Road is full of potholes, difficult to drive",HIGH
"Street light not functioning properly",MEDIUM
"Garbage not collected from the street",LOW
"Hospital emergency ward is overcrowded",HIGH
"Unauthorized construction blocking sidewalk",HIGH
"Illegal dumping of waste in public area",MEDIUM
"Electric wires hanging dangerously",HIGH
